field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,left_uwb_thread,right_uwb_thread,dataset_descrision,left_length,right_length,x,y
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.78,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.036921,0.01166,0.00932,-0.439502,0.090801,9.675586,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0.83,-0.08,0.687902433
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
0.015216,0.008468,-0.015152,-0.331836,-0.02165,9.589453,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0.68,0.071,0.590280407
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
0.012556,0.00368,0.007192,-0.494531,-0.016865,9.637304,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0.68,0.10875,0.602551483
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
0.001384,-0.037817,0.016768,-0.413184,-0.055146,9.783252,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.78,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.77,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.76,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.72,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.73,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.75,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
-0.005,0.009,0.004,-0.15,0.22,0,1.1,1.1,right,0.74,0,0,0
0.009364,-0.028241,-0.036965,-0.367725,-0.091035,9.618164,1.1,1.1,right,0.75,0,0,0
